Invoice ID,Date,City,Customer type,Gender,Product line,Unit cost,Unit price,Quantity
750-67-8428,1/5/2019,Yangon,Member,Female,Health and beauty,9.33,74.69,7
226-31-3081,3/8/2019,Naypyitaw,Normal,Female,Electronic accessories,9.8,15.28,5
631-41-3108,3/3/2019,Yangon,Normal,Male,Home and lifestyle,9.86,46.33,7
123-19-1176,1/27/2019,Yangon,Member,Male,Health and beauty,9.33,58.22,8
373-73-7910,2/8/2019,Yangon,Normal,Male,Sports and travel,9.13,86.31,7
699-14-3026,3/25/2019,Naypyitaw,Normal,Male,Electronic accessories,9.8,85.39,7
355-53-5943,2/25/2019,Yangon,Member,Female,Electronic accessories,9.8,68.84,6
315-22-5665,2/24/2019,Naypyitaw,Normal,Female,Home and lifestyle,9.86,73.56,10
665-32-9167,1/10/2019,Yangon,Member,Female,Health and beauty,9.33,36.26,2
692-92-5582,2/20/2019,Mandalay,Member,Female,Food and beverages,9.4,54.84,3
351-62-0822,2/6/2019,Mandalay,Member,Female,Fashion accessories,8.64,14.48,4
529-56-3974,3/9/2019,Mandalay,Member,Male,Electronic accessories,9.8,25.51,4
365-64-0515,2/12/2019,Yangon,Normal,Female,Electronic accessories,9.8,46.95,5
252-56-2699,2/7/2019,Yangon,Normal,Male,Food and beverages,9.4,43.19,10
829-34-3910,3/29/2019,Yangon,Normal,Female,Health and beauty,9.33,71.38,10
299-46-1805,1/15/2019,Mandalay,Member,Female,Sports and travel,9.13,93.72,6
656-95-9349,3/11/2019,Yangon,Member,Female,Health and beauty,9.33,68.93,7
765-26-6951,1/1/2019,Yangon,Normal,Male,Sports and travel,9.13,72.61,6
329-62-1586,1/21/2019,Yangon,Normal,Male,Food and beverages,9.4,54.67,3
319-50-3348,3/11/2019,Mandalay,Normal,Female,Home and lifestyle,9.86,40.3,2
300-71-4605,2/25/2019,Naypyitaw,Member,Male,Electronic accessories,9.8,86.04,5
371-85-5789,3/5/2019,Mandalay,Normal,Male,Health and beauty,9.33,87.98,3
273-16-6619,3/15/2019,Mandalay,Normal,Male,Home and lifestyle,9.86,33.2,2
636-48-8204,2/17/2019,Yangon,Normal,Male,Electronic accessories,9.8,34.56,5
549-59-1358,3/2/2019,Yangon,Member,Male,Sports and travel,9.13,88.63,3
227-03-5010,3/22/2019,Yangon,Member,Female,Home and lifestyle,9.86,52.59,8
